"defi","Intitulé","cat_defi","nb_coauteurs","Indicateur","Quelle.donnée.faut.il.surveiller..","Exemples.de.réponses.possibles","Afin.de.suivre.les.progrès..à.quelle.fréquence.est.il.nécessaire.de.surveiller.cette.donnée..","Qui.peut.renseigner.cette.donnée..","Champ.d.application","clarte_cons","cible_cons","qua_cons","finpro_cons","clarte_rev1","clarte_rev2","cible_rev1","cible_rev2","qua_rev1","qua_rev2","finpro_rev1","finpro_rev2","rev_id_12"
"45","Comment améliorer le climat scolaire au sein d’une école?","Gérer les comportements",7,"Indicateur #3c","Comment se percoivent les élèves dans leur section d'enseignement ?","","Tous les mois (une fois par mois)","Direction, enseignants, personnel, élèves, AESH","Collège (6ème/5ème/4ème/3ème)Lycée (2nd, 1ère T/ Terminale T)","Non",NA,NA,NA,"Oui","Non",NA,NA,NA,NA,NA,NA,"IA/ML"
"45","Comment améliorer le climat scolaire au sein d’une école?","Gérer les comportements",7,"Indicateur #3d","Comment se percoivent les élèves dans leur établissement ?","","Tous les mois (une fois par mois)","Direction, enseignants, personnel, élèves, AESH","Collège (6ème/5ème/4ème/3ème)Lycée (2nd, 1ère T/ Terminale T)","Non",NA,NA,NA,"Oui","Non",NA,NA,NA,NA,NA,NA,"IA/ML"
"45","Comment améliorer le climat scolaire au sein d’une école?","Gérer les comportements",7,"Indicateur #4a","Ressenti des élèves rouge, orange, vert : global établissement","","Tous les mois (une fois par mois)","","Collège (6ème/5ème/4ème/3ème)Lycée (2nd, 1ère T/ Terminale T)","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"45","Comment améliorer le climat scolaire au sein d’une école?","Gérer les comportements",7,"Indicateur #4b","Ressenti des élèves rouge, orange, vert: cantine","","Tous les mois (une fois par mois)","","Collège (6ème/5ème/4ème/3ème)Lycée (2nd, 1ère T/ Terminale T)","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"45","Comment améliorer le climat scolaire au sein d’une école?","Gérer les comportements",7,"Indicateur #4c","Ressenti des élèves rouge, orange, vert : Foyer","","Tous les mois (une fois par mois)","","Collège (6ème/5ème/4ème/3ème)Lycée (2nd, 1ère T/ Terminale T)","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"45","Comment améliorer le climat scolaire au sein d’une école?","Gérer les comportements",7,"Indicateur #4d","Ressenti des élèves rouge, orange, vert: Classe","","Tous les mois (une fois par mois)","","Collège (6ème/5ème/4ème/3ème)Lycée (2nd, 1ère T/ Terminale T)","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"45","Comment améliorer le climat scolaire au sein d’une école?","Gérer les comportements",7,"Indicateur #4e","Ressenti des élèves rouge, orange, vert: Groupe","","Tous les mois (une fois par mois)","","Collège (6ème/5ème/4ème/3ème)Lycée (2nd, 1ère T/ Terminale T)","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"45","Comment améliorer le climat scolaire au sein d’une école?","Gérer les comportements",7,"Indicateur #5a","Retour des élèves: est-ce que l'action était utile ?","","après les serious games","Enseignants, élèves","Collège (6ème/5ème/4ème/3ème)Lycée (2nd, 1ère T/ Terminale T)","Non",NA,NA,NA,"Non","Oui",NA,NA,NA,NA,NA,NA,"IA/ML"
"45","Comment améliorer le climat scolaire au sein d’une école?","Gérer les comportements",7,"Indicateur #5b","Retour des élèves: est-ce qu'ils veulent rejouer l'action ?","","après les serious games","Enseignants, élèves","Collège (6ème/5ème/4ème/3ème)Lycée (2nd, 1ère T/ Terminale T)","Non",NA,NA,NA,"Non","Oui",NA,NA,NA,NA,NA,NA,"IA/ML"
"45","Comment améliorer le climat scolaire au sein d’une école?","Gérer les comportements",7,"Indicateur #5c","Retour des élèves: est-ce qu'ils ont reinvesti l'action ?","","après les serious games","Enseignants, élèves","Collège (6ème/5ème/4ème/3ème)Lycée (2nd, 1ère T/ Terminale T)","Non",NA,NA,NA,"Non","Oui",NA,NA,NA,NA,NA,NA,"IA/ML"
"45","Comment améliorer le climat scolaire au sein d’une école?","Gérer les comportements",7,"Indicateur #5d","Retour des élèves: est-ce qu'ils ont reutilisé l'action ?","","après les serious games","Enseignants, élèves","Collège (6ème/5ème/4ème/3ème)Lycée (2nd, 1ère T/ Terminale T)","Non",NA,NA,NA,"Non","Oui",NA,NA,NA,NA,NA,NA,"IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #1a","nombre d'élèves posant une question de type circonstanciel (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, un élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #1b","nombre d'élèves posant une question de type épistémologique (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, un élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #1c","nombre d'élèves posant une question de type logique (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, un élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #1d","nombre d'élèves posant une question de type sémantique (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, un élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #1e","nombre d'élèves posant une question de type causal/final/effectual (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, un élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #1f","nombre d'élèves posant une question de type herméneutique (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, un élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #1g","nombre d'élèves posant une question de type axiologique (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, un élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #1h","nombre d'élèves posant une question de type esthétique/sensible (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, un élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #1i","nombre d'élèves posant une question de type ontologique (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, un élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #1j","nombre d'élèves posant une question de type métacognitif (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, un élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #2a","nombre de questions de type circonstanciel posées par tel élève (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, l'élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #2b","nombre de questions de type épistémologique posées par tel élève (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, l'élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #2c","nombre de questions de type logique posées par tel élève (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, l'élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #2d","nombre de questions de type sémantique posées par tel élève (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, l'élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #2e","nombre de questions de type causal/final/effectual posées par tel élève (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, l'élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #2f","nombre de questions de type herméneutique posées par tel élève (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, l'élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #2g","nombre de questions de type axiologique posées par tel élève (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, l'élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #2h","nombre de questions de type esthétique/sensible posées par tel élève (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, l'élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #2i","nombre de questions de type ontologique posées par tel élève (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, l'élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #2j","nombre de questions de type métacognitif posées par tel élève (voir texte du Défi)","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, l'élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #3","nombre global de questions posées par l'ensemble des élèves de la classe","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant, un élève","tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #4a","questions les plus pertinentes posées par les élèves","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant","tous niveaux","Oui","Oui","Qualitatif","Finalité","Oui","Oui","Oui","Oui","Qualitatif","Qualitatif","Finalité","Finalité","IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #4b","questions les plus originales posées par les élèves","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant","tous niveaux","Oui","Non","Qualitatif",NA,"Oui","Oui","Oui","Non","Qualitatif","Qualitatif",NA,NA,"IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #4c","questions les plus complexes posées par les élèves","","à chaque cours pendant une ou deux semaines en amont puis en aval de l'action","l'enseignant","tous niveaux","Oui","Non","Qualitatif",NA,"Oui","Oui","Oui","Non","Qualitatif","Qualitatif",NA,NA,"IA/ML"
"52","Comment améliorer les compétences de questionnement des élèves ?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",3,"Indicateur #5","ensemble des questions posées par l'ensemble des élèves","","à chaque cours pendant une ou deux semaines en amont et en aval de l'action (dans le secondaire) ou sur deux séquences de 2h en amont puis en aval de l'action (en élémentaire)","l'enseignant, à l'aide éventuellement d'un enregistreur en élémentaire","tous niveaux","Oui","Oui","Qualitatif","Finalité","Oui","Oui","Oui","Oui","Qualitatif","Qualitatif","Finalité","Finalité","IA/ML"
"57","Comment intégrer l'enseignement des langues vivantes dans les différentes disciplines?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",1,"Indicateur #1a","Compétences de compréhension en langue étrangère (à l'oral).","Pour chaque élève, % de réussite lors des évaluations.","A minima en début et en fin d'expérimentation","L'enseignant lors d'une évaluation","Tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"57","Comment intégrer l'enseignement des langues vivantes dans les différentes disciplines?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",1,"Indicateur #1b","Compétences de compréhension en langue étrangère (à l'écrit si celui-ci est utilisé dans le cadre de la mise en place).","Pour chaque élève, % de réussite lors des évaluations.","A minima en début et en fin d'expérimentation","L'enseignant lors d'une évaluation","Tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"57","Comment intégrer l'enseignement des langues vivantes dans les différentes disciplines?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",1,"Indicateur #2a","Compétences de production en langue étrangère: Nombre de phrases syntaxiquement correctes prononcées par les élèves pendant les séances","","A minima en début et en fin d'expérimentation","L'enseignant ou un adulte observateur","Tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"57","Comment intégrer l'enseignement des langues vivantes dans les différentes disciplines?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",1,"Indicateur #2b","Compétences de production en langue étrangère : Nombre de phrases syntaxiquement correctes écrites par les élèves pendant les séances","","A minima en début et en fin d'expérimentation","L'enseignant ou un adulte observateur","Tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"57","Comment intégrer l'enseignement des langues vivantes dans les différentes disciplines?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",1,"Indicateur #2c","Compétences de production en langue étrangère : Pourcentage de réussite de l'élève à la production langagière (à l'oral ou à l'écrit si celui-ci est utilisé dans le cadre de la mise en place) pendant les séances","","A minima en début et en fin d'expérimentation","L'enseignant ou un adulte observateur","Tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"57","Comment intégrer l'enseignement des langues vivantes dans les différentes disciplines?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",1,"Indicateur #3","Compétences des élèves dans la discipline choisie.","Pour chaque élève, degré d'acquisition par compétence (notation habituelle de la classe)","A minima en début et en fin d'expérimentation","L'enseignant","Tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Non","Oui","Quantitatif","Quantitatif",NA,NA,"IA/ML"
"57","Comment intégrer l'enseignement des langues vivantes dans les différentes disciplines?","Traiter les sujets du programme de façon compréhensible pour les élèves / étudiant·es",1,"Indicateur #4","Participation active en langue étrangère","Nombre d'élèves ayant participé activement en langue étrangère pendant la séance (en séance de LV et en séance de discipline autre)","Sur deux séances avant l'expérimentation (LV et discipline), puis deux séances en fin d'expérimentation (LV et discipline)","L'enseignant, les élèves (chacun met une croix quand il participe, plutôt à partir du CE2)","Tous niveaux","Oui","Oui","Quantitatif","Finalité","Oui","Oui","Oui","Oui","Quantitatif","Quantitatif","Finalité","Finalité","IA/ML"
"58","Comment libérer ses élèves du manque de confiance en soi vis à vis de leurs apprentissages ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #1","Les élèves manifestent-ils du stress ?","Le comportement est soit difficile à maÎtriser ou au contraire l'élève est totalement passif.","A chaque séance","C'est l'élève qui informe l'enseignant par son attitude et ses réactions (ou absence de réaction).","Toutes sections de tout niveau.","Oui","Oui","Quantitatif","Finalité",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Comment libérer ses élèves du manque de confiance en soi vis à vis de leurs apprentissages ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #2","Est-ce que l'élève produit (fait ses devoirs par exemple) malgré des erreurs ?","L'élève accepte-t-il d'essayer de faire l'activité demandée même s'il pense ne pas avoir bien compris, ne pas savoir faire ?","A chaque séance","L'enseignant, éventuellement l'AVS s'il y en a une.Note : l'acronyme A.V.S (Auxiliaire de vie scolaire) doit être remplacé par A.E.S.H (accompagnants d'élèves en situation de handicap).","Toutes sections de tout niveau","Oui","Oui","Quantitatif","Finalité",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Comment libérer ses élèves du manque de confiance en soi vis à vis de leurs apprentissages ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #3a","Sentiment d'auto-efficacité des élèves en Maths","Les réponses à un formulaire défini par des chercheurs (voir Appendix A de Joet 2011 en PJ)","Tous les 3-6 mois","L'élève lui même en remplissant un formulaire (voir Appendix A de Joet 2011 et PJ)","Cela a été utilisé pour le CE2","Oui","Oui","Quantitatif","Finalité",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Comment libérer ses élèves du manque de confiance en soi vis à vis de leurs apprentissages ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #3b","Sentiment d’auto-efficacité des élèves en Français","Les réponses à un formulaire défini par des chercheurs (voir Appendix B de Joet 2011 en PJ)","Tous les 3-6 mois","L'élève lui même en remplissant un formulaire (voir Appendix B de Joet 2011 et PJ)","Cela a été utilisé pour le CE2","Oui","Oui","Quantitatif","Finalité",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Comment libérer ses élèves du manque de confiance en soi vis à vis de leurs apprentissages ?","Engager les élèves / étudiants dans les tâches d’apprentissage",2,"Indicateur #4","Bien-être psychique de l'élève","L'élève a-t-il changé son comportement en société ?","Hors et dans l'établissement scolaire","Un changement comportemental en famille, dans l'établissement scolaire ou ailleurs en société peut être le signe d'une amélioration oi d'une dégradation de auto-efficacité.","","Non",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
